p0,S,F,observations,posterior_mean_A,demand_probability,best_response_product,uses_product2,q_gap_product2_minus_product1,continuation_gap_success_minus_failure,value
0.1,0,7,7,0.1111111111111111,0.43046721,2,1,0.39193280141350684,2.6103494774039557,15.330679449561847
0.1,1,6,7,0.2222222222222222,0.8131047299999999,1,0,-0.17983685301460994,1.105692492066808,17.72869808715192
0.1,2,5,7,0.3333333333333333,0.9619082099999999,1,0,-0.48080865571496645,0.313661432329031,18.682514524524034
0.1,3,4,7,0.4444444444444444,0.99497565,1,0,-0.5721245752851942,0.07335638082842877,18.93280278361516
0.1,4,3,7,0.5555555555555556,0.99956835,1,0,-0.5943920264821081,0.014757825047070128,18.987377622686942
0.1,5,2,7,0.6666666666666666,0.99997659,1,0,-0.5989764578192371,0.0026935320546428443,18.99777391368759
0.1,6,1,7,0.7777777777777778,0.99999927,1,0,-0.5998211463985648,0.000470667372191258,18.999615210560787
0.1,7,0,7,0.8888888888888888,0.99999999,1,0,-0.5999690938822155,8.133188891079612e-05,18.999933574502602
0.1,0,8,8,0.1,0.3874204889999999,2,1,0.47278259186200877,2.8231120838473895,14.878919816111226
0.1,1,7,8,0.2,0.7748409780000001,1,0,-0.12267454691597379,1.2561196133790027,17.489269293515182
0.1,2,6,8,0.3,0.947027862,1,0,-0.45378724418563365,0.38477041003780243,18.59496178558199
0.1,3,5,8,0.4,0.991668906,1,0,-0.5634254177124625,0.0962489007566667,18.90862321791102
0.1,4,4,8,0.5,0.99910908,1,0,-0.5921984421953503,0.02053041527538113,18.98197959873945
0.1,5,3,8,0.6,0.999935766,1,0,-0.5985200181879407,0.0038946889790913986,18.99673742378652
0.1,6,2,8,0.7,0.999997002,1,0,-0.5997366926939485,0.0006929139632987358,18.999430955841163
0.1,7,1,8,0.8,0.999999918,1,0,-0.5999542595699161,0.00012036955283889483,18.999901623213354
0.1,8,0,8,0.9,0.999999999,1,0,-0.5999920837251977,2.0832302102036238e-05,18.999982955102265
0.1,0,9,9,0.09090909090909091,0.34867844009999993,2,1,0.5539187816585365,3.036628372785623,14.414485372855895
0.1,1,8,9,0.18181818181818182,0.7360989291,1,0,-0.0690111098284163,1.3973391846620622,17.237597456703284
0.1,2,7,9,0.2727272727272727,0.9298091736,1,0,-0.42391822172765714,0.4633731007166908,18.493717070082287
0.1,3,6,9,0.36363636363636365,0.9872048016,1,0,-0.5530654971647238,0.1235118495665013,18.87848748012009
0.1,4,5,9,0.45454545454545453,0.9983650626,1,0,-0.5893717029106327,0.027969202866749754,18.974736380876756
0.1,5,4,9,0.5454545454545454,0.9998530974,1,0,-0.5978910739926953,0.005549805282374365,18.995266796152137
0.1,6,3,9,0.6363636363636364,0.9999908784,1,0,-0.5996150785930645,0.0010129510708694056,18.99916148513123
0.1,7,2,9,0.7272727272727273,0.9999996264,1,0,-0.5999324498537462,0.00017776354277643236,18.999854399094527
0.1,8,1,9,0.8181818181818182,0.9999999909,1,0,-0.5999882808082475,3.0839978286678615e-05,18.999974768647366
0.1,9,0,9,0.9090909090909091,0.9999999999,1,0,-0.5999979656393926,5.353580533551394e-06,18.999995600949468
0.1,0,10,10,0.08333333333333333,0.31381059608999995,2,1,0.6418949779454035,3.2681446788036936,13.944400426246107
0.1,1,9,10,0.16666666666666666,0.6973568802,1,0,-0.023595012096972567,1.516855231323749,16.98102879903173
0.1,2,8,10,0.25,0.91043814915,1,0,-0.39131346606693995,0.5491750892975205,18.378367983693792
0.1,3,7,10,0.3333333333333333,0.9814652388,1,0,-0.5409685444974031,0.1553459355331448,18.841741084410483
0.1,4,6,10,0.4166666666666667,0.9972490365,1,0,-0.5858166242647656,0.037324672987452345,18.965252933976984
0.1,5,5,10,0.5,0.99970429392,1,0,-0.5970442412116164,0.0077783126010047,18.993222136843734
0.1,6,4,10,0.5833333333333334,0.9999771003,1,0,-0.5994428029361885,0.0014663080626498015,18.99877194212611
0.1,7,3,10,0.6666666666666666,0.9999987516,1,0,-0.5999006422818702,0.0002614676792909165,18.999784893196978
0.1,8,2,10,0.75,0.99999995445,1,0,-0.5999826690797505,4.560768486783218e-05,18.999962656739754
0.1,9,1,10,0.8333333333333334,0.999999999,1,0,-0.5999969886737375,7.924542789083944e-06,18.99999349671804
0.1,10,0,10,0.9166666666666666,0.99999999999,1,0,-0.5999994751601498,1.3811574923749959e-06,18.999998850298574
0.1,0,11,11,0.07692307692307693,0.282429536481,2,1,0.740270056141382,3.5270264635299426,13.463593078827426
0.1,1,10,11,0.15384615384615385,0.659002251789,2,1,0.014939902865553023,1.6182629022777704,16.73173775763112
0.1,2,9,11,0.23076923076923078,0.8891300222549999,1,0,-0.35610857620824987,0.6418195362940757,18.24859298895487
0.1,3,8,11,0.3076923076923077,0.974362529835,1,0,-0.5270781843300476,0.19189951492094082,18.79776807825239
0.1,4,7,11,0.38461538461538464,0.99567065673,1,0,-0.5814420962017692,0.04883658894271292,18.953114013785534
0.1,5,6,11,0.46153846153846156,0.999458768178,1,0,-0.5959294823709129,0.010711888497596078,18.990438686772986
0.1,6,5,11,0.5384615384615384,0.999949819662,1,0,-0.59920319895798,0.002096844847411461,18.99821699937399
0.1,7,4,11,0.6153846153846154,0.99999658647,1,0,-0.5998547657822435,0.000382195309889255,18.99968330743664
0.1,8,3,11,0.6923076923076923,0.999999834165,1,0,-0.5999744265053728,6.729867006427526e-05,18.99994477511593
0.1,9,2,11,0.7692307692307693,0.999999994545,1,0,-0.599995544690799,1.1724497902321218e-05,18.9999903828008
0.1,10,1,11,0.8461538461538461,0.999999999891,1,0,-0.5999992233295508,2.043869599788195e-06,18.99999830734359
0.1,11,0,11,0.9230769230769231,0.999999999999,1,0,-0.5999998640395248,3.5779071083652525e-07,18.99999968850108
0.1,0,12,12,0.07142857142857142,0.25418658283289997,2,1,0.8394674152978894,3.788072145520756,12.95888254617348
0.1,1,11,12,0.14285714285714285,0.6213449802582001,2,1,0.05522681576303512,1.7242810941132518,16.485909009703423
0.1,2,10,12,0.21428571428571427,0.8661172452084,1,0,-0.31847301249560545,0.7408604934326171,18.104171911981194
0.1,3,9,12,0.2857142857142857,0.965839279077,1,0,-0.511355357944705,0.23327537382971997,18.74599144827527
0.1,4,8,12,0.35714285714285715,0.9935398440405,1,0,-0.5761628218732397,0.06272941612305516,18.93789096319621
0.1,5,7,12,0.42857142857142855,0.9990799570332,1,0,-0.5944930876084662,0.014491874714565256,18.986727552138923
0.1,6,6,12,0.5,0.9999007145136,1,0,-0.598876298129241,0.0029571101862053695,18.99743944063652
0.1,7,5,12,0.5714285714285714,0.9999919097892,1,0,-0.5997894891229194,0.0005539759923109955,18.99953628548393
0.1,8,4,12,0.6428571428571429,0.9999995093955,1,0,-0.599962404991583,9.893423267826051e-05,18.99991848079382
0.1,9,3,12,0.7142857142857143,0.999999978507,1,0,-0.5999934158545841,1.7326698461772594e-05,18.999985779463884
0.1,10,2,12,0.7857142857142857,0.9999999993564,1,0,-0.5999988509089214,3.0239238881790698e-06,18.999997503961787
0.1,11,1,12,0.8571428571428571,0.9999999999882,1,0,-0.5999997988612691,5.293124480942879e-07,18.999999547831386
0.1,12,0,12,0.9285714285714286,0.9999999999999,1,0,-0.5999999646523833,9.302003789457558e-08,18.999999905622097
0.1,0,13,13,0.06666666666666667,0.22876792454960992,2,1,0.938564301475699,4.048853424936054,12.43265857096871
0.1,1,12,13,0.13333333333333333,0.58462914051567,2,1,0.09707971782885849,1.8344203100759344,16.220730716489467
0.1,2,11,13,0.2,0.84164001871338,1,0,-0.27862905276212757,0.8457130190470252,17.94501181060272
0.1,3,10,13,0.26666666666666666,0.95586707569014,1,0,-0.4937758837933899,0.27953714791211226,18.685872304035335
0.1,4,9,13,0.3333333333333333,0.99076978754415,1,0,-0.5699005136029207,0.07920917472914724,18.919147677865055
0.1,5,8,13,0.4,0.99852594573393,1,0,-0.5926787418961688,0.019266468694276284,18.98187709398811
0.1,6,7,13,0.4666666666666667,0.99981863876556,1,0,-0.5984388106564467,0.004108393009342848,18.996368968702676
0.1,7,6,13,0.5333333333333333,0.99998279026164,1,0,-0.5996980171852044,0.0007946916178767083,18.99932607888888
0.1,8,5,13,0.6,0.99999874943487,1,0,-0.5999450365756118,0.00014464059048080458,18.999880054881192
0.1,9,4,13,0.6666666666666666,0.99999993159585,1,0,-0.5999902907187433,2.5550740144097972e-05,18.99997898911387
0.1,10,3,13,0.7333333333333333,0.99999999727146,1,0,-0.5999983008860887,4.471352394119776e-06,18.999996315812332
0.1,11,2,13,0.8,0.99999999992502,1,0,-0.5999997024652401,7.829861949915085e-07,18.99999933973622
0.1,12,1,13,0.8666666666666667,0.99999999999873,1,0,-0.5999999477160571,1.3758931416418818e-07,18.99999986904867
0.1,13,0,13,0.9333333333333333,0.99999999999999,1,0,-0.5999999907914955,2.4232896578268992e-08,18.999999962068706
0.1,0,14,14,0.0625,0.20589113209464904,2,1,1.03653048695673,4.30665917620192,11.887921739261257
0.1,1,13,14,0.125,0.5490430189190638,2,1,0.1402445810760078,1.9480120554631668,15.93677516419731
0.1,2,12,14,0.1875,0.8159389308936089,1,0,-0.23688430972772423,0.9555676059796667,17.771195474273245
0.1,3,11,14,0.25,0.944444369992464,1,0,-0.4743283483578118,0.3307148727425968,18.61690849332027
0.1,4,10,14,0.3125,0.987279516358749,1,0,-0.5625846038445026,0.09846156883026325,18.896445641232383
0.1,5,9,14,0.375,0.997750329914952,1,0,-0.5904286077405096,0.025187874367077256,18.97565481596153
0.1,6,8,14,0.4375,0.999689369462397,1,0,-0.5978642202336246,0.005620473069392062,18.994921284655806
0.1,7,7,14,0.5,0.999966375112032,1,0,-0.5995719060862008,0.0011265629310379666,18.99902967766515
0.1,8,6,14,0.5625,0.999997153517547,1,0,-0.5999202284996095,0.00020992500101968403,18.999824369283026
0.1,9,5,14,0.625,0.999999813379752,1,0,-0.5999857313710386,3.754902357755441e-05,18.999969009873507
0.1,10,4,14,0.6875,0.999999990703899,1,0,-0.5999974905595273,6.603790705383972e-06,18.99999456061365
0.1,11,3,14,0.75,0.999999999659664,1,0,-0.5999995599958154,1.1579057357380407e-06,18.999999031966045
0.1,12,2,14,0.8125,0.999999999991359,1,0,-0.5999999226693724,2.0350164220417355e-07,18.99999981495224
0.1,13,1,14,0.875,0.999999999999864,1,0,-0.599999986378311,3.584654706401125e-08,18.999999952541554
0.1,14,0,14,0.9375,0.999999999999999,1,0,-0.5999999976028292,6.308329858484285e-09,18.99999997677445
0.1,0,15,15,0.058823529411764705,0.18530201888518405,2,1,1.1322745326889745,4.558617191286777,11.328394309640528
0.1,1,14,15,0.11764705882352941,0.5147278302366224,2,1,0.1843656946358152,2.06412024904162,15.635053485842448
0.1,2,13,15,0.17647058823529413,0.7892493396961544,1,0,-0.19368619455365632,1.0692468564377435,17.583065541305615
0.1,3,12,15,0.23529411764705882,0.9315938260825785,1,0,-0.45301246481842483,0.386809303109402,18.53863314728528
0.1,4,11,15,0.29411764705882354,0.9829960017221205,1,0,-0.5541525478906308,0.12065118976149591,18.86934802002788
0.1,5,10,15,0.35294117647058826,0.9967032485593317,1,0,-0.5876843641080569,0.03240956813668561,18.96780958885814
0.1,6,9,15,0.4117647058823529,0.9994954655076524,1,0,-0.5971229833143141,0.007571096541276745,18.99299746322522
0.1,7,8,15,0.47058823529411764,0.9999386745470685,1,0,-0.5994009068637496,0.0015765608848603563,18.99861793629461
0.1,8,7,15,0.5294117647058824,0.9999940756769955,1,0,-0.5998852501324414,0.00030197333566306384,18.99974449922565
0.1,9,6,15,0.5882352941176471,0.9999995473935315,1,0,-0.5999791332833198,5.491241232036259e-05,18.99995442422667
0.1,10,5,15,0.6470588235294118,0.9999999729714844,1,0,-0.5999963013591305,9.73326543274311e-06,18.999991973250246
0.1,11,4,15,0.7058823529411765,0.9999999987640875,1,0,-0.5999993497184555,1.711267223925006e-06,18.99999857704095
0.1,12,3,15,0.7647058823529411,0.9999999999581894,1,0,-0.599999885641342,3.0094383518530776e-07,18.999999734946687
0.1,13,2,15,0.8235294117647058,0.9999999999990135,1,0,-0.5999999798513791,5.302267425122409e-08,18.99999993844833
0.1,14,1,15,0.8823529411764706,0.9999999999999855,1,0,-0.5999999964524285,9.335714423741592e-09,18.999999974294877
0.1,15,0,15,0.9411764705882353,0.9999999999999999,1,0,-0.5999999993788414,1.6346213271845045e-09,18.999999980603206
0.1,0,16,16,0.05555555555555555,0.16677181699666566,2,1,1.2247853546896046,4.80206672286738,10.758629271178222
0.1,1,15,16,0.1111111111111111,0.48178524910147824,2,1,0.22894716870022336,2.1814399176321615,15.317246462464999
0.1,2,14,16,0.16666666666666666,0.7617971887502011,1,0,-0.14971281310483064,1.1849662813030761,17.38136671150662
0.1,3,13,16,0.2222222222222222,0.917359377443936,1,0,-0.42983801980228264,0.4477946847308303,18.450613567944362
0.1,4,12,16,0.2777777777777778,0.9778557841581663,1,0,-0.5445498018932682,0.14592157396507588,18.837422871053764
0.1,5,11,16,0.3333333333333333,0.9953325238756106,1,0,-0.5843881553777415,0.04108380163751946,18.95807406081526
0.1,6,10,16,0.3888888888888889,0.9992162438128204,1,0,-0.5961828175219281,0.01004521704756911,18.990483628951946
0.1,7,9,16,0.4444444444444444,0.999894353643127,1,0,-0.5991728454805418,0.002176722419616084,18.998054725493223
0.1,8,8,16,0.5,0.9999885355640028,1,0,-0.5998366153690142,0.00042995955521973883,18.999631286378083
0.1,9,7,16,0.5555555555555556,0.9999990002218779,1,0,-0.5999696777491259,7.979539703129035e-05,18.999933259713746
0.1,10,6,16,0.6111111111111112,0.9999999304136891,1,0,-0.5999945656287977,1.4300976840075919e-05,18.999988172126066
0.1,11,5,16,0.6666666666666666,0.9999999961848272,1,0,-0.5999990400803519,2.5261043283819617e-06,18.9999979053915
0.1,12,4,16,0.7222222222222222,0.9999999998387793,1,0,-0.5999998309410906,4.448918566879456e-07,18.999999616658723
0.1,13,3,16,0.7777777777777778,0.999999999994931,1,0,-0.5999999702002548,7.842037419436565e-08,18.99999991760256
0.1,14,2,16,0.8333333333333334,0.9999999999998883,1,0,-0.5999999947504158,1.3814680954737923e-08,18.999999970625232
0.1,15,1,16,0.8888888888888888,0.9999999999999984,1,0,-0.599999999079941,2.4212027938119718e-09,18.999999979960947
0.1,16,0,16,0.9444444444444444,1.0,1,0,-0.5999999998405414,4.1961811803048477e-10,18.99999998159557
0.1,0,17,17,0.05263157894736842,0.15009463529699907,2,1,1.3135560417536656,5.035673794088595,10.183977938246016
0.1,1,16,17,0.10526315789473684,0.4502839058909973,2,1,0.2733536563799408,2.298299095736688,14.986044661113397
0.1,2,15,17,0.15789473684210525,0.733795994785329,1,0,-0.10602516995403022,1.2999337632788723,17.167484578745558
0.1,3,14,17,0.21052631578947367,0.9018031585745626,1,0,-0.40482455281237506,0.5136195978621636,18.352450860048634
0.1,4,13,17,0.2631578947368421,0.9718061434867433,1,0,-0.5337295581736292,0.17439589954307166,18.800245544779465
0.1,5,12,17,0.3157894736842105,0.9935848499038662,1,0,-0.580483417348205,0.05135942803102722,18.94616711874454
0.1,6,11,17,0.3684210526315789,0.9988278718190995,1,0,-0.5950090598903017,0.013134052920250383,18.98725092038206
0.1,7,10,17,0.42105263157894735,0.9998265426600963,1,0,-0.598873544528054,0.002964356505103183,18.99729613742963
0.1,8,9,17,0.47368421052631576,0.9999791173719152,1,0,-0.5997699645348966,0.0006053564871173478,18.999472859849245
0.1,9,8,17,0.5263157894736842,0.9999979537560904,1,0,-0.5999562771546074,0.00011506011944817374,18.999902819404465
0.1,10,7,17,0.5789473684210527,0.9999998373945079,1,0,-0.5999920499169704,2.0921271122631424e-05,18.999982614801496
0.1,11,6,17,0.631578947368421,0.9999999896077134,1,0,-0.5999985857262828,3.7217729378369313e-06,18.999996915778336
0.1,12,5,17,0.6842105263157895,0.9999999994733841,1,0,-0.5999997502432493,6.572546062955098e-07,18.999999441882665
0.1,13,4,17,0.7368421052631579,0.9999999999793159,1,0,-0.5999999559354272,1.1595940563324802e-07,18.99999988677452
0.1,14,3,17,0.7894736842105263,0.9999999999993926,1,0,-0.5999999922327177,2.044021485403391e-08,18.999999965194895
0.1,15,2,17,0.8421052631578947,0.9999999999999875,1,0,-0.5999999986373865,3.585821417573243e-09,18.999999979009576
0.1,16,1,17,0.8947368421052632,0.9999999999999999,1,0,-0.5999999997634902,6.223821458206658e-10,18.99999998143078
0.1,17,0,17,0.9473684210526315,1.0,1,0,-0.5999999999596533,1.0617284829095297e-10,18.999999981850397
0.1,0,18,18,0.05,0.13508517176729917,2,1,1.3996681613737483,5.262284635194073,9.60987413632991
0.1,1,17,18,0.1,0.4202649788315974,2,1,0.3170918798170721,2.413399683729132,14.645547930418505
0.1,2,16,18,0.15,0.7054447858958958,1,0,-0.06432341992552182,1.4096752107223054,16.943847026155193
0.1,3,15,18,0.2,0.8850024421956393,1,0,-0.37800198894691306,0.5842052922449668,18.243780789434066
0.1,4,14,18,0.25,0.9648058449955252,1,0,-0.521652313041205,0.2061781235757678,18.75740038729623
0.1,5,13,18,0.3,0.9914069792621538,1,0,-0.5759155596480454,0.0633801061893493,18.9317962868393
0.1,6,12,18,0.35,0.9983035696275762,1,0,-0.5935650733341227,0.0169340175417787,18.98315571487033
0.1,7,11,18,0.4,0.9997266755759966,1,0,-0.5984867894080743,0.003982133136645416,18.99628976779058
0.1,8,10,18,0.45,0.9999638599007333,1,0,-0.5996799499353713,0.0008422370121792255,18.999254124295682
0.1,9,9,18,0.5,0.9999960701176729,1,0,-0.5999375136912093,0.00016443765471763072,18.9998594807828
0.1,10,8,18,0.55,0.9999996490306662,1,0,-0.5999884343851889,3.043582845307924e-05,18.999974540902247
0.1,11,7,18,0.6,0.9999999743863928,1,0,-0.5999979222177707,5.467847966400541e-06,18.99999546217337
0.1,12,6,18,0.65,0.999999998486817,1,0,-0.5999996314497942,9.698689602544164e-07,18.999999183946308
0.1,13,5,18,0.7,0.9999999999287227,1,0,-0.5999999348677605,1.7140062880116602e-07,18.999999841200914
0.1,14,4,18,0.75,0.9999999999973849,1,0,-0.599999988509385,3.02384641770459e-08,18.99999995716032
0.1,15,3,18,0.8,0.999999999999928,1,0,-0.5999999979822306,5.309914286044659e-09,18.999999977600535
0.1,16,2,18,0.85,0.9999999999999986,1,0,-0.599999999649274,9.229630393292609e-10,18.999999981186356
0.1,17,1,18,0.9,1.0,1,0,-0.5999999999400529,1.5775114547977864e-10,18.999999981808738
0.1,18,0,18,0.95,1.0,1,0,-0.5999999999899899,2.6336266500948113e-11,18.99999998191491
0.1,0,19,19,0.047619047619047616,0.12157665459056921,2,1,1.4867093774603433,5.491340467000905,9.03891702332857
0.1,1,18,19,0.09523809523809523,0.3917469981251679,2,1,0.36155431751132383,2.5304060987140176,14.301201658522643
0.1,2,17,19,0.14285714285714285,0.6769268051894659,1,0,-0.02738086515279292,1.5068924601242308,16.714601342251775
0.1,3,16,19,0.19047619047619047,0.8670466765656649,1,0,-0.34941259451248996,0.6594405407566057,18.12427655297408
0.1,4,15,19,0.23809523809523808,0.9568255047155366,1,0,-0.5082853330917629,0.2413543866006087,18.708481845219048
0.1,5,14,19,0.2857142857142857,0.988746865835491,1,0,-0.5706324945819539,0.07728290899485302,18.914659968794815
0.1,6,13,19,0.3333333333333333,0.9976139105910339,1,0,-0.591812678903409,0.02154558183312716,18.978040074984165
0.1,7,12,19,0.38095238095238093,0.9995843649811545,1,0,-0.5979943391097962,0.005278054974208857,18.994974092525943
0.1,8,11,19,0.42857142857142855,0.9999401414682596,1,0,-0.5995601290110137,0.0011575552341582807,18.99895622566259
0.1,9,10,19,0.47619047619047616,0.999992849095979,1,0,-0.5999115724508961,0.00023270407659126136,18.999798462674768
0.1,10,9,19,0.5238095238095238,0.9999992911393668,1,0,-0.599983288035542,4.3978853835113796e-05,18.999962900329486
0.1,11,8,19,0.5714285714285714,0.9999999418508202,1,0,-0.5999969591872407,8.002138834228845e-06,18.99999333615794
0.1,12,7,19,0.6190476190476191,0.9999999960767746,1,0,-0.5999994571284581,1.4286093161786084e-06,18.999998804005905
0.1,13,6,19,0.6666666666666666,0.9999999997845321,1,0,-0.5999999037938899,2.5317395824231426e-07,18.999999773874865
0.1,14,5,19,0.7142857142857143,0.9999999999905187,1,0,-0.5999999830056844,4.472187242754444e-08,18.999999945275494
0.1,15,4,19,0.7619047619047619,0.9999999999996737,1,0,-0.5999999970125565,7.861686412979907e-09,18.99999997551396
0.1,16,3,19,0.8095238095238095,0.9999999999999916,1,0,-0.5999999994799765,1.3684662292234862e-09,18.999999980823873
0.1,17,2,19,0.8571428571428571,0.9999999999999999,1,0,-0.5999999999109455,2.3435120510839624e-10,18.999999981746836
0.1,18,1,19,0.9047619047619048,1.0,1,0,-0.5999999999850942,3.922195901395753e-11,18.999999981904587
0.1,19,0,19,0.9523809523809523,1.0,1,0,-0.5999999999975749,6.377121053446899e-12,18.999999981930923
0.1,0,20,20,0.045454545454545456,0.10941898913151227,2,1,1.566598946581875,5.701576175215465,8.46501550661757
0.1,1,19,20,0.09090909090909091,0.3647299637717081,2,1,0.41745520193523866,2.6775136893032574,13.956355973618475
0.1,2,18,20,0.13636363636363635,0.6484088244830362,2,1,0.0005631264183811879,1.5804292800483672,16.486762072332493
0.1,3,17,20,0.18181818181818182,0.848034689428045,1,0,-0.3191148867460072,0.7391713506683928,17.993654532456723
0.1,4,16,20,0.22727272727272727,0.9478476219005494,1,0,-0.49360207641097276,0.27999453576058997,18.65309507321333
0.1,5,15,20,0.2727272727272727,0.9855547297234956,1,0,-0.5645850110924933,0.09319733923028295,18.894449459813938
0.1,6,14,20,0.3181818181818182,0.9967272061154796,1,0,-0.5897125917236679,0.02707212704298101,18.97173236880879
0.1,7,13,20,0.36363636363636365,0.9993873195421424,1,0,-0.5973759791190112,0.006905318107861547,18.993277950641918
0.1,8,12,20,0.4090909090909091,0.9999045638195492,1,0,-0.5994028686117332,0.001571398390172618,18.998556005616127
0.1,9,11,20,0.45454545454545453,0.999987578333207,1,0,-0.5998761701179518,0.0003258681106466099,18.999713560850285
0.1,10,10,20,0.5,0.999998646935028,1,0,-0.5999760395702687,6.305376244952754e-05,18.999946264926876
0.1,11,9,20,0.5454545454545454,0.9999998767796748,1,0,-0.5999955716514549,1.1653548799728242e-05,18.99999024378071
0.1,12,8,20,0.5909090909090909,0.9999999906541791,1,0,-0.5999992024094567,2.098922479376597e-06,18.999998245919546
0.1,13,7,20,0.6363636363636364,0.9999999994137564,1,0,-0.5999998580536214,3.7354310933324086e-07,18.999999674528862
0.1,14,6,20,0.6818181818181818,0.9999999999699201,1,0,-0.599999974876873,6.611347913576537e-08,18.99999992770282
0.1,15,5,20,0.7272727272727273,0.9999999999987581,1,0,-0.5999999955778286,1.1637286689847315e-08,18.999999972424693
0.1,16,4,20,0.7727272727272727,0.9999999999999597,1,0,-0.5999999992291087,2.028656354013947e-09,18.99999998028638
0.1,17,3,20,0.8181818181818182,0.999999999999999,1,0,-0.5999999998677268,3.480806753941579e-10,18.999999981654845
0.1,18,2,20,0.8636363636363636,1.0,1,0,-0.5999999999778112,5.839240202476503e-11,18.999999981889196
0.1,19,1,20,0.9090909090909091,1.0,1,0,-0.5999999999963812,9.514167231827741e-12,18.99999998192842
0.1,20,0,20,0.9545454545454546,1.0,1,0,-0.5999999999994294,1.4956924587750109e-12,18.999999981934796
0.1,0,21,21,0.043478260869565216,0.09847709021836115,2,1,1.6380766952707742,5.8896755138704595,7.892165640083949
0.1,1,20,21,0.08695652173913043,0.3391988663076886,2,1,0.4743430224970666,2.8272184802554374,13.593741815299413
0.1,2,19,21,0.13043478260869565,0.6200409384119033,2,1,0.029591368320090794,1.6568193903160306,16.27125550460267
0.1,3,18,21,0.17391304347826086,0.8280721029335442,1,0,-0.2871905730672495,0.8231827024545986,17.851684784651038
0.1,4,17,21,0.21739130434782608,0.937866328653299,1,0,-0.4775816171074041,0.3221536391910398,18.59085613531943
0.1,5,16,21,0.2608695652173913,0.9817840189412009,1,0,-0.5577269989912708,0.11124473949664804,18.87085067108002
0.1,6,15,21,0.30434782608695654,0.9956099584762812,1,0,-0.5872248397674973,0.03361884271711091,18.964048010310304
0.1,7,14,21,0.34782608695652173,0.9991213081994762,1,0,-0.5966096115940971,0.008922074752380382,18.991120137353285
0.1,8,13,21,0.391304347826087,0.9998528393918085,1,0,-0.5991992632012639,0.002107202101928607,18.998025455461146
0.1,9,12,21,0.43478260869565216,0.9999792768818412,1,0,-0.5998284806609462,0.0004513666817160811,18.99959685385132
0.1,10,11,21,0.4782608695652174,0.999997540074846,1,0,-0.5999659438200986,8.962152605818119e-05,18.999922721961966
0.1,11,10,21,0.5217391304347826,0.9999997537952101,1,0,-0.5999935892120902,1.6870494501830535e-05,18.999985775724415
